Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pct
2010-01-25,8724.8,8751.2,8669.55,8696.6,12814386,1006.45,-0.3242646551525758
2010-01-27,8564.6,8602.65,8294.6,8329.8,25504488,2118.7,-2.8187951691517337
2010-01-28,8396.5,8496.1,8354.25,8423.85,34620160,2493.69,0.32467339755575375
2010-01-29,8346.55,8687.0,8306.1,8651.55,38569989,2940.42,3.5253798452300456
2010-02-01,8597.45,8712.25,8495.25,8649.25,20358895,1551.18,0.5988958580223634
2010-02-02,8666.7,8718.65,8453.9,8468.15,19575079,1544.68,-2.344667961715382
2010-02-03,8489.8,8662.95,8489.8,8631.85,17646774,1560.97,1.6456495421028066
2010-02-04,8591.8,8623.25,8455.5,8471.1,17517164,1453.7,-1.4248444712020742
2010-02-05,8319.15,8319.15,8150.45,8223.25,18540082,1524.94,-1.16620557565439
2010-02-06,8268.2,8293.25,8249.0,8275.2,2101628,138.02,0.08459010054137664
2010-02-08,8279.75,8412.3,8160.95,8342.2,15299740,1176.28,0.7486034858910205
2010-02-09,8322.0,8420.4,8271.55,8392.45,14994228,1144.65,0.8394449773308239
2010-02-10,8410.55,8444.2,8259.4,8290.0,13374885,1215.47,-1.4541616405307511
2010-02-11,8327.7,8451.95,8327.7,8381.4,10898769,890.42,0.640704416923174
2010-02-15,8441.6,8441.6,8282.05,8312.7,8571819,702.75,-1.5506393831125822
2010-02-16,8324.3,8432.15,8289.15,8397.8,8493163,696.3,0.8752292267022316
2010-02-17,8446.55,8569.25,8446.55,8551.5,15712708,1305.82,1.227270069578445
2010-02-18,8574.75,8602.0,8523.35,8573.9,18048887,1552.77,-0.009913808185310813
2010-02-19,8490.25,8530.25,8407.95,8487.1,14813600,1238.27,-0.03711515122950874
2010-02-22,8565.3,8598.25,8473.15,8493.35,10340839,883.09,-0.8471333454997017
2010-02-23,8491.4,8577.9,8453.4,8512.95,12335870,1059.79,0.25314373983168104
2010-02-24,8463.45,8527.35,8458.45,8504.55,11256969,887.79,0.48327071979115355
2010-02-25,8520.6,8554.95,8469.65,8537.8,18820464,1392.89,0.20145704982546922
2010-02-26,8535.45,8851.35,8527.05,8722.75,24323606,2074.79,2.1472586053710043
2010-03-02,8826.9,8945.6,8826.9,8922.1,18123512,1566.31,1.0670133712915202
2010-03-03,8922.15,9046.9,8922.15,9039.45,18803027,1508.34,1.2976453213414654
2010-03-04,9055.95,9068.95,8965.25,9013.8,16820143,1353.83,-0.4676163216401679
2010-03-05,9012.85,9095.3,8967.8,9038.45,16681174,1320.59,0.28323440412903056
2010-03-08,9102.15,9178.55,9093.45,9145.95,21139512,2111.41,0.478900496941281
2010-03-09,9118.7,9177.0,9073.5,9138.2,16236278,1409.91,0.2133899455034908
2010-03-10,9136.25,9156.0,9074.0,9119.25,15159557,1253.25,-0.1864188392685802
2010-03-11,9114.65,9219.2,9087.35,9186.85,13510984,1144.48,0.7859059416448589
2010-03-12,9201.15,9230.0,9145.6,9172.9,12581598,1113.04,-0.30797239695189094
2010-03-15,9118.2,9146.2,9056.15,9085.5,10800991,862.54,-0.35991414891861456
2010-03-16,9071.0,9121.95,8986.75,9102.95,11514299,1011.12,0.3509851202082921
2010-03-17,9162.45,9221.05,9142.0,9188.4,16157111,1213.67,0.28242131383047003
2010-03-18,9214.1,9287.6,9172.05,9252.3,13951482,1211.92,0.4128703133274852
2010-03-19,9293.7,9294.1,9231.9,9270.8,11095350,1020.11,-0.24701212408855178
2010-03-22,9171.2,9240.85,9066.7,9186.95,13898909,1228.15,0.17143883443362595
2010-03-23,9192.45,9257.9,9166.4,9222.9,13720455,1194.79,0.33015645838075774
2010-03-25,9191.4,9342.0,9165.5,9318.25,23038698,1736.16,1.3613071123869864
2010-03-26,9331.65,9473.2,9321.5,9456.2,15949000,1338.68,1.3171252723081268
2010-03-29,9452.1,9578.5,9452.1,9517.6,15054228,1239.29,0.6881987055560225
2010-03-30,9558.95,9587.65,9461.25,9470.3,13567250,1134.54,-0.9360843901460509
2010-03-31,9509.85,9537.45,9440.35,9459.6,12860458,1115.42,-0.5312063935050108
2010-04-01,9464.15,9523.4,9445.55,9507.75,10367373,912.5,0.45857326917515046
2010-04-05,9593.55,9708.9,9582.0,9698.6,14913546,1221.82,1.083146021075218
2010-04-06,9732.6,9772.4,9674.1,9728.2,21797034,1386.93,-0.04522933327850615
2010-04-07,9778.5,9793.2,9639.85,9681.05,21601793,1598.8,-1.0066056884325638
2010-04-08,9676.7,9676.7,9492.3,9520.0,13733134,1170.38,-1.6460084033613522
2010-04-09,9538.0,9686.25,9538.0,9656.5,12134046,1122.24,1.2271526950758556
2010-04-12,9661.2,9667.4,9547.6,9575.45,10825715,975.7,-0.8955192706348003
2010-04-13,9565.05,9565.35,9453.55,9483.0,12489918,1184.89,-0.8652325213539942
